title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
The Diver (La Plongeuse),"1932, December",1932-01-01,1912-01-01,etching with collage of paper on paper,56.17.3,cmoa:things/6c5cda51-efd7-456f-9d7a-857284176a8c,Leisser Art Fund,1956-03-14,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1009628,Galerie Gerald Cramer,prints,http://collection.cmoa.org/CollectionImage.aspx?irn=108423&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=108422&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Head of a Boy,1906,1906-01-01,1906-01-01,oil on canvas,66.13,cmoa:things/8e524354-3eb6-4379-8c50-4bed3a2f66c9,Purchase: gift of the Howard Heinz Endowment,1966-09-20,Fine Arts,"Gallery 4, Scaife Galleries",8.625,14.0,1.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1012209,"Pablo Picasso [1881-1973], Paris, France. Helena Rubinstein [1872-1965], New York, NY, until April 1, 1965 [1]; her estate, until April 20, 1966; Rubinstein sale, Parke-Bernet Galleries, Inc., New York, NY, April 20, 1966, no. 33 [2]; purchased by Museum of Art, Carnegie Institute, September 1966 [3].

Notes:
[1]. Born Chaja Rubinstein, also known as Princess Gourielli.
[2]. Illustrated in the catalogue of Sale no. 2428, ""The Helena Rubinstein Collection, Modern Paintings and Sculptures, Part One.""
[3]. The musuem purchased the painting at the Rubinstein sale as a gift of the Howard Heinz Endowment. It was accessioned on September 20, 1966.

Updated and under review by CGK",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=114575&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=36440&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Two Seated Nudes,1930,1930-01-01,1930-01-01,etching on paper,74.7.151,cmoa:things/86542618-e717-4b42-af28-5dd977b7666c,Bequest of Charles J. Rosenbloom,1974-02-14,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1017302,"Charles J. Rosenbloom [1898-1973], Pittsburgh, PA (Lugt Suppl. 633b), until April 1, 1973; his bequest to Museum of Art, Carnegie Institute, Pittsburgh, PA, February 1974.

Under review by CGK.",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Three Bathers,1922-1923,1922-01-01,1923-01-01,drypoint on paper,74.7.152,cmoa:things/ccf128a1-21af-4271-a8dc-5552145155b8,Bequest of Charles J. Rosenbloom,1974-02-14,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1017303,"Charles J. Rosenbloom [1898-1973], Pittsburgh, PA (Lugt Suppl. 633b), until April 1, 1973; his bequest to Museum of Art, Carnegie Institute, Pittsburgh, PA, February 1974.

Under review by CGK.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=108455&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=108456&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Plaque,c. 1956,1951-01-01,1961-01-01,glazed earthenware,80.38,cmoa:things/aa4b9b49-6546-4ec6-a4c4-397f666e728b,Gift of Mr. and Mrs. Donald C. Burnham,1980-10-09,Decorative Arts and Design,Hall of Sculpture Balcony,0.0,1.688,0.0,16.5,http://collection.cmoa.org/CollectionDetail.aspx?item=1021163,"Gift of Mr. and Mrs. Donald C. Burnham, 1980.",Ceramics,http://collection.cmoa.org/CollectionImage.aspx?irn=4085&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971|cmoa:parties/2d99cad1-8b8f-421d-8106-10c0c694370e,Person|Organization,Pablo Picasso|Madoura Pottery,"Picasso, Pablo|Madoura Pottery",designer|manufacturer,Spanish|French,1881-01-01|1940-01-01,1973-01-01|1995-01-01,"Málaga, Spain|","Mougins, France|"
Blue Centaur,c. 1954,1954-01-01,1965-01-01,glass,81.26.22,cmoa:things/4eeb578f-e4dc-4ee6-9be4-e40f84057221,Bequest of C. Hale Matthews III,1981-04-02,Contemporary Art,Not on View,14.25,13.375,4.5,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1021796,"Bequest of C. Hale Matthews III, New York, NY, 1981.",sculpture,http://collection.cmoa.org/CollectionImage.aspx?irn=126961&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",after,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Circus Rider and Clown,1954,1954-01-01,1954-01-01,lithograph on paper,81.26.23,cmoa:things/4cc7ae72-4ea4-4825-9257-ee4458f2588b,Bequest of C. Hale Matthews III,1981-04-02,Contemporary Art,Not on View,15.0,10.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1021797,"Bequest of C. Hale Matthews III, New York, NY, 1981.",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Seated Man and Woman,1954,1954-01-01,1954-01-01,lithograph on paper,81.26.24,cmoa:things/d8388d0d-1850-4c29-b341-da73ae7ce9ba,Bequest of C. Hale Matthews III,1981-04-02,Contemporary Art,Not on View,15.0,11.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1021798,"Bequest of C. Hale Matthews III, New York, NY",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Untitled,1954,1954-01-01,1954-01-01,lithograph on paper,81.26.25,cmoa:things/dacbd4e0-671f-490d-9b55-c91ce88536c5,Bequest of C. Hale Matthews III,1981-04-02,Contemporary Art,Not on View,14.625,11.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1021799,"Bequest of C. Hale Matthews III, New York, NY, 1981.",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Untitled,1954,1954-01-01,1954-01-01,lithograph on paper,81.26.26,cmoa:things/2fd9dd74-9bf8-44a6-9ccb-55379808e302,Bequest of C. Hale Matthews III,1981-04-02,Contemporary Art,Not on View,14.5,10.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1021800,"Bequest of C. Hale Matthews III, New York, NY, 1981.",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Untitled,1954,1954-01-01,1954-01-01,lithograph on paper,81.26.27,cmoa:things/9bfc4c30-9587-4cef-8a2b-6e7d00bb4f5c,Bequest of C. Hale Matthews III,1981-04-02,Contemporary Art,Not on View,14.875,11.125,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1021801,"Bequest of C. Hale Matthews III, New York, NY, 1981.",prints,,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971,Person,Pablo Picasso,"Picasso, Pablo",,Spanish,1881-01-01,1973-01-01,"Málaga, Spain","Mougins, France"
Plate,c. 1947,1942-01-01,1952-01-01,glazed pottery,86.45,cmoa:things/bccd86f6-e484-4ec0-97cd-6ad8d8290f6b,Gift of Dr. and Mrs. John R. Lane,1986-10-02,Decorative Arts and Design,Not on View,0.0,1.0,0.0,1.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1026115,"Dr. And Mrs. John R. Lane, Pittsburgh, PA",Ceramics,http://collection.cmoa.org/CollectionImage.aspx?irn=132876&size=Medium,cmoa:parties/b7eaca81-9a3a-404a-866e-05844d616971|cmoa:parties/2d99cad1-8b8f-421d-8106-10c0c694370e,Person|Organization,Pablo Picasso|Madoura Pottery,"Picasso, Pablo|Madoura Pottery",manufacturer|,Spanish|French,1881-01-01|1940-01-01,1973-01-01|1995-01-01,"Málaga, Spain|","Mougins, France|"
